"replicate","data_seed","variable","gate_p_value","gate_statistic","baseline_alignment_ratio","gated_alignment_ratio","leave_one_out_alignment_ratio","leave_one_out_standardized_contrast","leave_one_out_partition_ARI_to_gated","leave_one_out_ARI_to_truth"
1,26092201,"C15",0.01,0.518299132642268,1.35999078818936,1.99909291993619,1.99909291993619,0.56179841593023,1,0.726781286841888
2,26092301,"C1",0.01,0.659484831898625,1.11268439938952,1.80622862347645,1.80622862347645,0.518766414919948,1,0.733496809909667
2,26092301,"C2",0.01,0.53185195376995,1.18194505456479,1.88697452360835,1.88697452360835,0.533479364071416,1,0.733496809909667
2,26092301,"C3",0.01,0.585341365461847,1.29785062506384,2.22419704780246,2.19814372217849,0.616419109990344,0.995746096652922,0.733443369619735
2,26092301,"C4",0.01,0.504637206764866,1.14678000210913,1.89047720385084,1.88954669896095,0.538633267652499,0.993318082006171,0.726706456603287
2,26092301,"C5",0.01,0.539081939081939,1.20695712278131,1.94636920871538,1.94777139142434,0.5573483350785,0.993318082006171,0.726706456603287
2,26092301,"C6",0.01,0.500244259892526,1.19098365358412,2.07525604819599,2.07660423468568,0.593398353112472,0.993318082006171,0.726706456603287
2,26092301,"C7",0.01,0.476632811037956,1.12744856529949,1.92187725579018,1.92187725579018,0.552423754845948,1,0.733496809909667
2,26092301,"C8",0.01,0.517099148958388,1.22378505984737,1.99943475521058,1.99943475521058,0.56882503239436,1,0.733496809909667
2,26092301,"C9",0.01,0.500309345777872,1.23284171841102,2.11524422352418,2.09096437572757,0.591177359378699,0.995746096652922,0.733443369619735
2,26092301,"C10",0.01,0.556944444444444,1.19726918246742,1.98733233979157,1.98733233979157,0.565848125470959,1,0.733496809909667
2,26092301,"C11",0.01,0.579490633704101,1.29029036537048,2.34890678381058,2.31917523952425,0.641702399958363,0.995746096652922,0.733443369619735
2,26092301,"C12",0.01,0.545662377249346,1.20367633635567,1.97569298422013,1.95433675703632,0.555150782771525,0.995746096652922,0.733443369619735
2,26092301,"C13",0.01,0.555874623644686,1.21212263051529,2.05046929698819,2.05046929698819,0.586371061176824,1,0.733496809909667
2,26092301,"C14",0.01,0.506988344100175,1.19112177346622,1.92843410770226,1.92843410770226,0.545696125580826,1,0.733496809909667
2,26092301,"C15",0.01,0.489614038716795,1.15957161299335,1.99206905228,1.9924944168613,0.571148086993311,0.993318082006171,0.726706456603287
3,26092401,"C1",0.01,0.65584246218049,1.3625055035891,1.82908489351156,1.80978421963404,0.528511851429251,0.995736398328849,0.733187809748675
3,26092401,"C2",0.01,0.576887638002379,1.63215317799617,2.03252555750054,2.03252555750054,0.60064061867879,1,0.733233517656605
3,26092401,"C3",0.01,0.60143343668988,1.73703554134948,2.19031379419614,2.19031379419614,0.646213236066265,1,0.733233517656605
3,26092401,"C4",0.01,0.603204712224829,1.58907081017902,2.06089381311786,2.06089381311786,0.614568972238522,1,0.733233517656605
3,26092401,"C5",0.01,0.597596055064721,1.70639535014284,2.1370436048217,2.1370436048217,0.623125335102918,1,0.733233517656605
3,26092401,"C6",0.01,0.598197190735187,1.7473534091207,2.19031379419676,2.19031379419676,0.646213236065824,1,0.733233517656605
3,26092401,"C7",0.01,0.616220464369309,1.75489400413957,2.22145369583489,2.22145369583489,0.650664341047689,1,0.733233517656605
3,26092401,"C8",0.01,0.600446428571429,1.79747916550579,2.22373513112166,2.22373513112166,0.657721533644735,1,0.733233517656605
3,26092401,"C9",0.01,0.594991944146079,1.64824591484054,2.14751231392386,2.14751231392386,0.638463680144064,1,0.733233517656605
3,26092401,"C10",0.01,0.615972222222222,1.85099415111553,2.26934495044534,2.26934495044534,0.654980504927968,1,0.733233517656605
3,26092401,"C11",0.01,0.577978529747019,1.66476519091328,2.12894474819079,2.12894474819079,0.624280916923793,1,0.733233517656605
3,26092401,"C12",0.01,0.627334465195246,1.87805410814701,2.38980889332742,2.38980889332742,0.702773894966535,1,0.733233517656605
3,26092401,"C13",0.01,0.625801731911057,1.86121901426087,2.35210647125785,2.35210647125785,0.691104044584801,1,0.733233517656605
3,26092401,"C14",0.01,0.599093614718615,1.71713124673356,2.17044084097284,2.17044084097284,0.641192468735511,1,0.733233517656605
3,26092401,"C15",0.01,0.618895966029724,1.76306817914708,2.18904346392114,2.18904346392114,0.639459756712746,1,0.733233517656605
