"task_key","experiment","condition","state","replicate","data_seed","method","method_label","bandwidth_multiplier","ARI","affinity_sigma","objective","iterations","ifault","distance_seconds","clustering_seconds","error"
"Simulation_1__reference__null__rep004","Simulation_1","reference","null",4,26200400,"Ahmad_Dey_SC","Ahmad--Dey distance",1,0.334853902472124,0.0201603996256188,96.5321823154534,3,0,0.0240000000000009,0.117999999999995,NA
"Simulation_1__reference__signal__rep005","Simulation_1","reference","signal",5,26200500,"Gated_active_average_SC","Gated active average",1,0.917341768493267,3.8326213362237,64.5372514085863,3,0,0.00499999999999545,0.0869999999999891,NA
"Simulation_1__reference__signal__rep005","Simulation_1","reference","signal",5,26200500,"Package_no_interaction_SC","Package no interaction",1,0.474988927757879,2.18026255671266,88.8498798159729,3,0,0.00399999999999068,0.0829999999999984,NA
"Simulation_1__reference__signal__rep005","Simulation_1","reference","signal",5,26200500,"Gower_SC","Gower",1,0.6555278106402,0.474989294775173,93.0632330311357,3,0,0.0900000000000034,0.0769999999999982,NA
"Simulation_1__reference__signal__rep005","Simulation_1","reference","signal",5,26200500,"Modified_Gower_SC","Modified Gower",1,0.722973253367182,0.5872738802651,71.13602993005,3,0,0.282999999999987,0.0809999999999889,NA
"Simulation_1__reference__signal__rep005","Simulation_1","reference","signal",5,26200500,"Euclidean_onehot_SC","Euclidean one-hot",1,0.6555278106402,4.14023170190965,77.8553190897174,3,0,0.162000000000006,0.367000000000019,NA
"Simulation_1__reference__signal__rep005","Simulation_1","reference","signal",5,26200500,"Ahmad_Dey_SC","Ahmad--Dey distance",1,0.801421914369057,0.10613435912261,85.4266013091177,4,0,0.0320000000000107,0.0949999999999989,NA
"Simulation_1__reference__null__rep005","Simulation_1","reference","null",5,26200500,"Gated_active_average_SC","Gated active average",1,0.474988927757879,2.18026255671266,88.8498798159729,3,0,0.00600000000000023,0.126999999999981,NA
"Simulation_1__reference__null__rep005","Simulation_1","reference","null",5,26200500,"Package_no_interaction_SC","Package no interaction",1,0.474988927757879,2.18026255671266,88.8498798159729,3,0,0.00899999999998613,0.110000000000014,NA
"Simulation_1__reference__null__rep005","Simulation_1","reference","null",5,26200500,"Gower_SC","Gower",1,-0.00280243524593865,0.469748965474914,89.8475067341706,4,0,0.0840000000000032,0.122000000000014,NA
"Simulation_1__reference__null__rep005","Simulation_1","reference","null",5,26200500,"Modified_Gower_SC","Modified Gower",1,0.519803868907569,0.609708958378031,79.5201948519204,2,0,0.263000000000005,0.111999999999995,NA
"Simulation_1__reference__null__rep005","Simulation_1","reference","null",5,26200500,"Euclidean_onehot_SC","Euclidean one-hot",1,-0.00280243524593865,4.07048427940551,87.758652429343,4,0,0.10499999999999,0.0919999999999845,NA
"Simulation_1__reference__null__rep005","Simulation_1","reference","null",5,26200500,"Ahmad_Dey_SC","Ahmad--Dey distance",1,0.0783442308157888,0.0194145328780053,98.8288215099361,3,0,0.02800000000002,0.442000000000007,NA
"Simulation_2__n500__interaction__rep001","Simulation_2","n500","interaction",1,26300100,"Gated_active_average_SC","Gated active average",1,0.644562227317978,5.89452051832023,56.3872822584285,2,0,0.00800000000000978,0.193999999999988,NA
"Simulation_2__n500__interaction__rep001","Simulation_2","n500","interaction",1,26300100,"Package_no_interaction_SC","Package no interaction",1,0.266003352110107,4.96101147826534,53.7945030885864,2,0,0.0130000000000052,0.48599999999999,NA
"Simulation_2__n500__interaction__rep001","Simulation_2","n500","interaction",1,26300100,"Gower_SC","Gower",1,0.264285408882012,0.307674117460881,46.8460503195616,3,0,0.0779999999999745,0.203000000000003,NA
"Simulation_2__n500__interaction__rep001","Simulation_2","n500","interaction",1,26300100,"Modified_Gower_SC","Modified Gower",1,0.696647277419647,0.567640972761275,35.1888428512009,3,0,1.007,0.260999999999996,NA
"Simulation_2__n500__interaction__rep001","Simulation_2","n500","interaction",1,26300100,"Euclidean_onehot_SC","Euclidean one-hot",1,0.265558143133555,5.36529408263446,55.1299819865052,3,0,0.59899999999999,0.192999999999984,NA
"Simulation_2__n500__interaction__rep001","Simulation_2","n500","interaction",1,26300100,"Ahmad_Dey_SC","Ahmad--Dey distance",1,0.389585795145947,0.0627722512270358,13.3993972100782,2,0,0.0510000000000161,0.187999999999988,NA
"Simulation_2__n500__interaction__rep002","Simulation_2","n500","interaction",2,26300200,"Gated_active_average_SC","Gated active average",1,0.82188912288191,6.00508577981843,50.4308939194188,2,0,0.00799999999998136,0.197000000000003,NA
"Simulation_2__n500__interaction__rep002","Simulation_2","n500","interaction",2,26300200,"Package_no_interaction_SC","Package no interaction",1,0.252696210447726,4.90703380603564,58.9898573594498,2,0,0.00900000000001455,0.225999999999999,NA
"Simulation_2__n500__interaction__rep002","Simulation_2","n500","interaction",2,26300200,"Gower_SC","Gower",1,0.249996175630592,0.311264305899708,60.0478257242288,2,0,0.0979999999999848,0.585000000000008,NA
"Simulation_2__n500__interaction__rep002","Simulation_2","n500","interaction",2,26300200,"Modified_Gower_SC","Modified Gower",1,0.778341678755817,0.597499461942495,30.376077900836,2,0,1.19900000000001,0.218999999999994,NA
"Simulation_2__n500__interaction__rep002","Simulation_2","n500","interaction",2,26300200,"Euclidean_onehot_SC","Euclidean one-hot",1,0.284279967888797,5.34373791716107,58.0476594166519,2,0,0.401999999999987,0.230000000000018,NA
"Simulation_2__n500__interaction__rep002","Simulation_2","n500","interaction",2,26300200,"Ahmad_Dey_SC","Ahmad--Dey distance",1,0.383432279697956,0.055158637984568,11.7872113722138,2,0,0.281000000000006,0.195999999999998,NA
"Simulation_2__n500__interaction__rep003","Simulation_2","n500","interaction",3,26300300,"Gated_active_average_SC","Gated active average",1,0.857785148030803,6.02021534658228,35.3414283947818,2,0,0.0150000000000148,0.175999999999988,NA
"Simulation_2__n500__interaction__rep003","Simulation_2","n500","interaction",3,26300300,"Package_no_interaction_SC","Package no interaction",1,0.249597604401972,4.85792270668256,57.5613933602567,2,0,0.369,0.209000000000003,NA
"Simulation_2__n500__interaction__rep003","Simulation_2","n500","interaction",3,26300300,"Gower_SC","Gower",1,0.276288011746861,0.308324237441108,55.2148919765385,2,0,0.164999999999992,0.187999999999988,NA
"Simulation_2__n500__interaction__rep003","Simulation_2","n500","interaction",3,26300300,"Modified_Gower_SC","Modified Gower",1,0.726819751379911,0.592371876593748,34.428310781701,2,0,1.036,0.180000000000007,NA
"Simulation_2__n500__interaction__rep003","Simulation_2","n500","interaction",3,26300300,"Euclidean_onehot_SC","Euclidean one-hot",1,0.349926958608572,5.349951601752,51.7429982579879,2,0,0.724999999999994,0.435000000000002,NA
"Simulation_2__n500__interaction__rep003","Simulation_2","n500","interaction",3,26300300,"Ahmad_Dey_SC","Ahmad--Dey distance",1,0.364571459266912,0.0416232897378241,0.697416793514362,2,0,0.228000000000009,0.212999999999994,NA
"Simulation_2__n500__interaction__rep004","Simulation_2","n500","interaction",4,26300400,"Gated_active_average_SC","Gated active average",1,0.832311542676226,6.08778616454008,52.6562050331036,3,0,0.0169999999999959,0.185999999999979,NA
"Simulation_2__n500__interaction__rep004","Simulation_2","n500","interaction",4,26300400,"Package_no_interaction_SC","Package no interaction",1,0.23520333604427,4.9424638213723,58.2179321784181,2,0,0.00899999999998613,0.358000000000004,NA
"Simulation_2__n500__interaction__rep004","Simulation_2","n500","interaction",4,26300400,"Gower_SC","Gower",1,0.242341568092663,0.31689141638798,37.586031639749,1,0,0.131,0.179000000000002,NA
"Simulation_2__n500__interaction__rep004","Simulation_2","n500","interaction",4,26300400,"Modified_Gower_SC","Modified Gower",1,0.659227202968858,0.624279728312143,36.3325233438839,2,0,1.04000000000002,0.335000000000008,NA
"Simulation_2__n500__interaction__rep004","Simulation_2","n500","interaction",4,26300400,"Euclidean_onehot_SC","Euclidean one-hot",1,0.241928035060348,5.3617048823286,56.0186021620021,2,0,0.397999999999996,0.183999999999997,NA
"Simulation_2__n500__interaction__rep004","Simulation_2","n500","interaction",4,26300400,"Ahmad_Dey_SC","Ahmad--Dey distance",1,0.358318776745231,0.0505395136532205,3.98495615671661,3,0,0.215000000000003,0.330999999999989,NA
