"task_key","experiment","condition","state","replicate","variable","detected_199","adjusted_p_value_199","statistic_199","detected_499","adjusted_p_value_499","statistic_499","decision_changed"
"Simulation_3__npg120_profile0-35__aligned__rep002","Simulation_3","npg120_profile0.35","aligned",2,"C16",FALSE,1,0.0648653827728274,FALSE,1,0.0648653827728274,FALSE
"Simulation_3__npg120_profile0-35__aligned__rep002","Simulation_3","npg120_profile0.35","aligned",2,"C17",TRUE,0.01,0.349521002210759,TRUE,0.006,0.349521002210759,FALSE
"Simulation_3__npg120_profile0-35__aligned__rep002","Simulation_3","npg120_profile0.35","aligned",2,"C18",FALSE,0.035,0.25456301303718,FALSE,0.04,0.25456301303718,FALSE
"Simulation_3__npg120_profile0-35__aligned__rep002","Simulation_3","npg120_profile0.35","aligned",2,"C19",FALSE,0.89,0.124942041977064,FALSE,0.904,0.124942041977064,FALSE
"Simulation_3__npg120_profile0-35__aligned__rep002","Simulation_3","npg120_profile0.35","aligned",2,"C2",FALSE,0.175,0.219035829722853,FALSE,0.166,0.219035829722853,FALSE
"Simulation_3__npg120_profile0-35__aligned__rep002","Simulation_3","npg120_profile0.35","aligned",2,"C20",FALSE,0.175,0.218383311603651,FALSE,0.166,0.218383311603651,FALSE
"Simulation_3__npg120_profile0-35__aligned__rep002","Simulation_3","npg120_profile0.35","aligned",2,"C21",FALSE,0.02,0.277552459883618,FALSE,0.024,0.277552459883618,FALSE
"Simulation_3__npg120_profile0-35__aligned__rep002","Simulation_3","npg120_profile0.35","aligned",2,"C22",FALSE,0.975,0.107562192137303,FALSE,0.968,0.107562192137303,FALSE
"Simulation_3__npg120_profile0-35__aligned__rep002","Simulation_3","npg120_profile0.35","aligned",2,"C23",FALSE,0.015,0.327864406779661,TRUE,0.01,0.327864406779661,TRUE
"Simulation_3__npg120_profile0-35__aligned__rep002","Simulation_3","npg120_profile0.35","aligned",2,"C24",FALSE,0.215,0.210881835847136,FALSE,0.21,0.210881835847136,FALSE
"Simulation_3__npg120_profile0-35__aligned__rep002","Simulation_3","npg120_profile0.35","aligned",2,"C3",FALSE,0.015,0.288066701406983,FALSE,0.014,0.288066701406983,FALSE
"Simulation_3__npg120_profile0-35__aligned__rep002","Simulation_3","npg120_profile0.35","aligned",2,"C4",FALSE,1,0.0827316390470436,FALSE,0.998,0.0827316390470436,FALSE
"Simulation_3__npg120_profile0-35__aligned__rep002","Simulation_3","npg120_profile0.35","aligned",2,"C5",TRUE,0.01,0.340494021810537,TRUE,0.006,0.340494021810537,FALSE
"Simulation_3__npg120_profile0-35__aligned__rep002","Simulation_3","npg120_profile0.35","aligned",2,"C6",FALSE,0.735,0.147213690215007,FALSE,0.754,0.147213690215007,FALSE
"Simulation_3__npg120_profile0-35__aligned__rep002","Simulation_3","npg120_profile0.35","aligned",2,"C7",FALSE,0.875,0.129464285714286,FALSE,0.88,0.129464285714286,FALSE
"Simulation_3__npg120_profile0-35__aligned__rep002","Simulation_3","npg120_profile0.35","aligned",2,"C8",FALSE,0.445,0.179930303676837,FALSE,0.456,0.179930303676837,FALSE
"Simulation_3__npg120_profile0-35__aligned__rep002","Simulation_3","npg120_profile0.35","aligned",2,"C9",FALSE,0.035,0.261377488825681,FALSE,0.04,0.261377488825681,FALSE
"Simulation_3__npg120_profile0-35__aligned__rep003","Simulation_3","npg120_profile0.35","aligned",3,"C1",FALSE,1,0.0063690230995912,FALSE,1,0.0063690230995912,FALSE
"Simulation_3__npg120_profile0-35__aligned__rep003","Simulation_3","npg120_profile0.35","aligned",3,"C10",FALSE,0.535,0.168383028613074,FALSE,0.534,0.168383028613074,FALSE
"Simulation_3__npg120_profile0-35__aligned__rep003","Simulation_3","npg120_profile0.35","aligned",3,"C11",FALSE,0.045,0.277754415475189,FALSE,0.028,0.277754415475189,FALSE
"Simulation_3__npg120_profile0-35__aligned__rep003","Simulation_3","npg120_profile0.35","aligned",3,"C12",TRUE,0.005,0.351340206185567,TRUE,0.002,0.351340206185567,FALSE
"Simulation_3__npg120_profile0-35__aligned__rep003","Simulation_3","npg120_profile0.35","aligned",3,"C13",FALSE,1,0.09125,FALSE,0.998,0.09125,FALSE
"Simulation_3__npg120_profile0-35__aligned__rep003","Simulation_3","npg120_profile0.35","aligned",3,"C14",TRUE,0.005,0.315789473684211,TRUE,0.004,0.315789473684211,FALSE
"Simulation_3__npg120_profile0-35__aligned__rep003","Simulation_3","npg120_profile0.35","aligned",3,"C15",TRUE,0.005,0.352346083437711,TRUE,0.002,0.352346083437711,FALSE
"Simulation_3__npg120_profile0-35__aligned__rep003","Simulation_3","npg120_profile0.35","aligned",3,"C16",FALSE,1,0.00336700336700346,FALSE,1,0.00336700336700346,FALSE
"Simulation_3__npg120_profile0-35__aligned__rep003","Simulation_3","npg120_profile0.35","aligned",3,"C17",TRUE,0.01,0.309858124908585,TRUE,0.006,0.309858124908585,FALSE
"Simulation_3__npg120_profile0-35__aligned__rep003","Simulation_3","npg120_profile0.35","aligned",3,"C18",TRUE,0.005,0.369281045751634,TRUE,0.002,0.369281045751634,FALSE
"Simulation_3__npg120_profile0-35__aligned__rep003","Simulation_3","npg120_profile0.35","aligned",3,"C19",FALSE,1,0.0452488687782804,FALSE,1,0.0452488687782804,FALSE
"Simulation_3__npg120_profile0-35__aligned__rep003","Simulation_3","npg120_profile0.35","aligned",3,"C2",TRUE,0.005,0.380978865406007,TRUE,0.002,0.380978865406007,FALSE
"Simulation_3__npg120_profile0-35__aligned__rep003","Simulation_3","npg120_profile0.35","aligned",3,"C20",FALSE,0.15,0.225452343099402,FALSE,0.118,0.225452343099402,FALSE
"Simulation_3__npg120_profile0-35__aligned__rep003","Simulation_3","npg120_profile0.35","aligned",3,"C21",FALSE,0.045,0.279608877169853,FALSE,0.024,0.279608877169853,FALSE
"Simulation_3__npg120_profile0-35__aligned__rep003","Simulation_3","npg120_profile0.35","aligned",3,"C22",FALSE,0.285,0.19212962962963,FALSE,0.306,0.19212962962963,FALSE
"Simulation_3__npg120_profile0-35__aligned__rep003","Simulation_3","npg120_profile0.35","aligned",3,"C23",FALSE,0.08,0.253168287651046,FALSE,0.048,0.253168287651046,FALSE
"Simulation_3__npg120_profile0-35__aligned__rep003","Simulation_3","npg120_profile0.35","aligned",3,"C24",FALSE,0.04,0.288659793814433,FALSE,0.02,0.288659793814433,FALSE
"Simulation_3__npg120_profile0-35__aligned__rep003","Simulation_3","npg120_profile0.35","aligned",3,"C3",TRUE,0.005,0.362307692307692,TRUE,0.002,0.362307692307692,FALSE
"Simulation_3__npg120_profile0-35__aligned__rep003","Simulation_3","npg120_profile0.35","aligned",3,"C4",FALSE,0.965,0.116550116550117,FALSE,0.958,0.116550116550117,FALSE
"Simulation_3__npg120_profile0-35__aligned__rep003","Simulation_3","npg120_profile0.35","aligned",3,"C5",TRUE,0.005,0.362556561085973,TRUE,0.002,0.362556561085973,FALSE
"Simulation_3__npg120_profile0-35__aligned__rep003","Simulation_3","npg120_profile0.35","aligned",3,"C6",TRUE,0.005,0.331276595744681,TRUE,0.002,0.331276595744681,FALSE
"Simulation_3__npg120_profile0-35__aligned__rep003","Simulation_3","npg120_profile0.35","aligned",3,"C7",FALSE,1,0.0131153895852176,FALSE,1,0.0131153895852176,FALSE
"Simulation_3__npg120_profile0-35__aligned__rep003","Simulation_3","npg120_profile0.35","aligned",3,"C8",FALSE,0.045,0.281512605042017,FALSE,0.022,0.281512605042017,FALSE
"Simulation_3__npg120_profile0-35__aligned__rep003","Simulation_3","npg120_profile0.35","aligned",3,"C9",FALSE,0.565,0.165811965811966,FALSE,0.564,0.165811965811966,FALSE
"Simulation_3__npg120_profile0-35__aligned__rep004","Simulation_3","npg120_profile0.35","aligned",4,"C1",FALSE,0.54,0.172028319463421,FALSE,0.546,0.172028319463421,FALSE
"Simulation_3__npg120_profile0-35__aligned__rep004","Simulation_3","npg120_profile0.35","aligned",4,"C10",FALSE,1,0,FALSE,1,0,FALSE
"Simulation_3__npg120_profile0-35__aligned__rep004","Simulation_3","npg120_profile0.35","aligned",4,"C11",FALSE,0.1,0.239585450111766,FALSE,0.092,0.239585450111766,FALSE
"Simulation_3__npg120_profile0-35__aligned__rep004","Simulation_3","npg120_profile0.35","aligned",4,"C12",FALSE,0.125,0.231884057971014,FALSE,0.112,0.231884057971014,FALSE
"Simulation_3__npg120_profile0-35__aligned__rep004","Simulation_3","npg120_profile0.35","aligned",4,"C13",FALSE,0.27,0.204695068935536,FALSE,0.266,0.204695068935536,FALSE
"Simulation_3__npg120_profile0-35__aligned__rep004","Simulation_3","npg120_profile0.35","aligned",4,"C14",FALSE,0.015,0.304662004662005,FALSE,0.014,0.304662004662005,FALSE
"Simulation_3__npg120_profile0-35__aligned__rep004","Simulation_3","npg120_profile0.35","aligned",4,"C15",TRUE,0.005,0.355769230769231,TRUE,0.002,0.355769230769231,FALSE
"Simulation_3__npg120_profile0-35__aligned__rep004","Simulation_3","npg120_profile0.35","aligned",4,"C16",FALSE,0.52,0.173831070889894,FALSE,0.53,0.173831070889894,FALSE
"Simulation_3__npg120_profile0-35__aligned__rep004","Simulation_3","npg120_profile0.35","aligned",4,"C17",FALSE,0.18,0.223648648648649,FALSE,0.148,0.223648648648649,FALSE
"Simulation_3__npg120_profile0-35__aligned__rep004","Simulation_3","npg120_profile0.35","aligned",4,"C18",TRUE,0.01,0.314285714285714,FALSE,0.012,0.314285714285714,TRUE
"Simulation_3__npg120_profile0-35__aligned__rep004","Simulation_3","npg120_profile0.35","aligned",4,"C19",FALSE,0.985,0.110955710955711,FALSE,0.97,0.110955710955711,FALSE
"Simulation_3__npg120_profile0-35__aligned__rep004","Simulation_3","npg120_profile0.35","aligned",4,"C2",FALSE,0.45,0.17972972972973,FALSE,0.476,0.17972972972973,FALSE
"Simulation_3__npg120_profile0-35__aligned__rep004","Simulation_3","npg120_profile0.35","aligned",4,"C20",FALSE,0.805,0.147826086956522,FALSE,0.796,0.147826086956522,FALSE
"Simulation_3__npg120_profile0-35__aligned__rep004","Simulation_3","npg120_profile0.35","aligned",4,"C21",FALSE,0.025,0.287509520182788,FALSE,0.022,0.287509520182788,FALSE
"Simulation_3__npg120_profile0-35__aligned__rep004","Simulation_3","npg120_profile0.35","aligned",4,"C22",FALSE,1,0.0723809523809524,FALSE,1,0.0723809523809524,FALSE
"Simulation_3__npg120_profile0-35__aligned__rep004","Simulation_3","npg120_profile0.35","aligned",4,"C23",FALSE,0.795,0.149958228905597,FALSE,0.778,0.149958228905597,FALSE
"Simulation_3__npg120_profile0-35__aligned__rep004","Simulation_3","npg120_profile0.35","aligned",4,"C24",TRUE,0.01,0.332599926659332,TRUE,0.006,0.332599926659332,FALSE
"Simulation_3__npg120_profile0-35__aligned__rep004","Simulation_3","npg120_profile0.35","aligned",4,"C3",TRUE,0.005,0.397403946002077,TRUE,0.002,0.397403946002077,FALSE
"Simulation_3__npg120_profile0-35__aligned__rep004","Simulation_3","npg120_profile0.35","aligned",4,"C4",FALSE,0.89,0.13692480359147,FALSE,0.868,0.13692480359147,FALSE
"Simulation_3__npg120_profile0-35__aligned__rep004","Simulation_3","npg120_profile0.35","aligned",4,"C5",FALSE,0.06,0.252214839424142,FALSE,0.068,0.252214839424142,FALSE
"Simulation_3__npg120_profile0-35__aligned__rep004","Simulation_3","npg120_profile0.35","aligned",4,"C6",TRUE,0.01,0.322305764411027,FALSE,0.012,0.322305764411027,TRUE
"Simulation_3__npg120_profile0-35__aligned__rep004","Simulation_3","npg120_profile0.35","aligned",4,"C7",FALSE,0.11,0.235897435897436,FALSE,0.102,0.235897435897436,FALSE
"Simulation_3__npg120_profile0-35__aligned__rep004","Simulation_3","npg120_profile0.35","aligned",4,"C8",TRUE,0.01,0.313005313005313,FALSE,0.012,0.313005313005313,TRUE
"Simulation_3__npg120_profile0-35__aligned__rep004","Simulation_3","npg120_profile0.35","aligned",4,"C9",FALSE,0.235,0.212727272727273,FALSE,0.222,0.212727272727273,FALSE
"Simulation_3__npg120_profile0-35__aligned__rep005","Simulation_3","npg120_profile0.35","aligned",5,"C1",FALSE,0.955,0.110579179573829,FALSE,0.968,0.110579179573829,FALSE
"Simulation_3__npg120_profile0-35__aligned__rep005","Simulation_3","npg120_profile0.35","aligned",5,"C10",FALSE,0.855,0.131194048669777,FALSE,0.868,0.131194048669777,FALSE
