"configuration","interaction_state","replicate","data_seed","n","p_numeric","q_categorical","method","affinity","ARI","ifault","distance_seconds","clustering_seconds"
"categorical_high","null",1,26092100,360,2,5,"ab_no_interaction","selftune",0.453112445232999,0,1.14,0.0820000000000007
"categorical_high","null",1,26092100,360,2,5,"gower","gaussian",0.0195387848827401,0,0.0889999999999986,0.111999999999998
"categorical_high","null",1,26092100,360,2,5,"gower","selftune",-0.0096228104694052,0,0.0889999999999986,0.111000000000001
"categorical_high","null",1,26092100,360,2,5,"modified_gower","gaussian",0.522396149498887,0,0.509,0.0850000000000009
"categorical_high","null",1,26092100,360,2,5,"modified_gower","selftune",0.477986601806119,0,0.509,0.379999999999999
"categorical_high","null",1,26092100,360,2,5,"standardized_euclidean_onehot","gaussian",0.00313201394362887,0,0.497,0.125
"categorical_high","null",1,26092100,360,2,5,"standardized_euclidean_onehot","selftune",0.00217144328629306,0,0.497,0.135000000000002
"joint_high","signal",1,26092100,360,10,5,"ab_gated","gaussian",0.815862708283804,0,12.507,0.117000000000001
"joint_high","signal",1,26092100,360,10,5,"ab_gated","selftune",1,0,12.507,0.0839999999999996
"joint_high","signal",1,26092100,360,10,5,"ab_no_interaction","gaussian",0.689123954419064,0,0.742,0.075999999999997
"joint_high","signal",1,26092100,360,10,5,"ab_no_interaction","selftune",0.486302952297361,0,0.742,0.0810000000000031
"joint_high","signal",1,26092100,360,10,5,"gower","gaussian",0.626084201125925,0,0.122999999999998,0.0839999999999996
"joint_high","signal",1,26092100,360,10,5,"gower","selftune",0.432236765084167,0,0.122999999999998,0.0950000000000024
"joint_high","signal",1,26092100,360,10,5,"modified_gower","gaussian",0.515090733883367,0,0.586000000000002,0.0809999999999995
"joint_high","signal",1,26092100,360,10,5,"modified_gower","selftune",0.68350340052419,0,0.586000000000002,0.093
"joint_high","signal",1,26092100,360,10,5,"standardized_euclidean_onehot","gaussian",0.50368104785829,0,0.437000000000001,0.0800000000000018
"joint_high","signal",1,26092100,360,10,5,"standardized_euclidean_onehot","selftune",0.411501115117836,0,0.437000000000001,0.102999999999998
"joint_high","null",1,26092100,360,10,5,"ab_gated","gaussian",0.689123954419064,0,11.807,0.113999999999997
"joint_high","null",1,26092100,360,10,5,"ab_gated","selftune",0.486302952297361,0,11.807,0.119
"joint_high","null",1,26092100,360,10,5,"ab_no_interaction","gaussian",0.689123954419064,0,0.742,0.0749999999999993
"joint_high","null",1,26092100,360,10,5,"ab_no_interaction","selftune",0.486302952297361,0,0.742,0.0800000000000018
"joint_high","null",1,26092100,360,10,5,"gower","gaussian",0.351517669621526,0,0.166,0.0850000000000009
"joint_high","null",1,26092100,360,10,5,"gower","selftune",0.17334059300562,0,0.166,0.0829999999999984
"joint_high","null",1,26092100,360,10,5,"modified_gower","gaussian",0.487387870683972,0,0.952999999999999,0.0760000000000005
"joint_high","null",1,26092100,360,10,5,"modified_gower","selftune",0.53977349037967,0,0.952999999999999,0.0939999999999976
"joint_high","null",1,26092100,360,10,5,"standardized_euclidean_onehot","gaussian",0.161852462450691,0,0.593,0.108999999999998
"joint_high","null",1,26092100,360,10,5,"standardized_euclidean_onehot","selftune",0.1770426763763,0,0.593,0.0869999999999997
