"scenario","param_adjacent_overlap","param_ar1_rho","param_categorical_accuracy","param_categorical_contamination","param_family","param_interaction_state","param_k","param_moon_noise_sd","param_n","param_n_per_moon","param_p_numeric","param_p_numeric_noise","param_p_numeric_signal","param_q_categorical","param_q_categorical_noise","param_q_categorical_signal","setting_id","prop_nn","rho","numeric_block_weight","method","method_label","affinity","attempted_replicates","successful_results","mean_ARI","median_ARI","sd_ARI","mcse_mean_ARI"
"null_interaction",NA,NA,NA,"0",NA,"null",NA,"0.08",NA,"18",NA,NA,NA,NA,"0",NA,1,0.1,0.5,1,"KPrototypes","k-prototypes","not_applicable",1,1,0.126984126984127,0.126984126984127,NA,NA
"null_interaction",NA,NA,NA,"0",NA,"null",NA,"0.08",NA,"18",NA,NA,NA,NA,"0",NA,1,0.1,0.5,1,"Legacy_u_dep_interaction_SC","Legacy u_dep interaction implementation (spectral clustering)","gaussian",1,1,0.507579195788327,0.507579195788327,NA,NA
"null_interaction",NA,NA,NA,"0",NA,"null",NA,"0.08",NA,"18",NA,NA,NA,NA,"0",NA,1,0.1,0.5,1,"Legacy_u_dep_interaction_SC","Legacy u_dep interaction implementation (spectral clustering)","selftune",1,1,0.685714285714286,0.685714285714286,NA,NA
"null_interaction",NA,NA,NA,"0",NA,"null",NA,"0.08",NA,"18",NA,NA,NA,NA,"0",NA,1,0.1,0.5,1,"Modified_Gower_SC","Feature-weighted modified Gower dissimilarity (spectral clustering)","gaussian",1,1,0.355087591903422,0.355087591903422,NA,NA
"null_interaction",NA,NA,NA,"0",NA,"null",NA,"0.08",NA,"18",NA,NA,NA,NA,"0",NA,1,0.1,0.5,1,"Modified_Gower_SC","Feature-weighted modified Gower dissimilarity (spectral clustering)","selftune",1,1,0.355087591903422,0.355087591903422,NA,NA
"pi_nn_sensitivity",NA,NA,NA,"0",NA,"signal",NA,"0.08",NA,"18",NA,NA,NA,NA,"0",NA,1,0.02,0.5,1,"AB_BW_R1_interaction_SC","AB-BW R1 with interaction (spectral clustering)","gaussian",1,1,1,1,NA,NA
"pi_nn_sensitivity",NA,NA,NA,"0",NA,"signal",NA,"0.08",NA,"18",NA,NA,NA,NA,"0",NA,1,0.02,0.5,1,"AB_BW_R1_interaction_SC","AB-BW R1 with interaction (spectral clustering)","selftune",1,1,1,1,NA,NA
"pi_nn_sensitivity",NA,NA,NA,"0",NA,"signal",NA,"0.08",NA,"18",NA,NA,NA,NA,"0",NA,1,0.02,0.5,1,"AB_BW_R1_no_interaction_SC","AB-BW R1 without interaction (spectral clustering)","gaussian",1,1,0.398190045248869,0.398190045248869,NA,NA
"pi_nn_sensitivity",NA,NA,NA,"0",NA,"signal",NA,"0.08",NA,"18",NA,NA,NA,NA,"0",NA,1,0.02,0.5,1,"AB_BW_R1_no_interaction_SC","AB-BW R1 without interaction (spectral clustering)","selftune",1,1,1,1,NA,NA
"pi_nn_sensitivity",NA,NA,NA,"0",NA,"signal",NA,"0.08",NA,"18",NA,NA,NA,NA,"0",NA,2,0.05,0.5,1,"AB_BW_R1_interaction_SC","AB-BW R1 with interaction (spectral clustering)","gaussian",1,1,1,1,NA,NA
"pi_nn_sensitivity",NA,NA,NA,"0",NA,"signal",NA,"0.08",NA,"18",NA,NA,NA,NA,"0",NA,2,0.05,0.5,1,"AB_BW_R1_interaction_SC","AB-BW R1 with interaction (spectral clustering)","selftune",1,1,1,1,NA,NA
"pi_nn_sensitivity",NA,NA,NA,"0",NA,"signal",NA,"0.08",NA,"18",NA,NA,NA,NA,"0",NA,2,0.05,0.5,1,"AB_BW_R1_no_interaction_SC","AB-BW R1 without interaction (spectral clustering)","gaussian",1,1,0.398190045248869,0.398190045248869,NA,NA
"pi_nn_sensitivity",NA,NA,NA,"0",NA,"signal",NA,"0.08",NA,"18",NA,NA,NA,NA,"0",NA,2,0.05,0.5,1,"AB_BW_R1_no_interaction_SC","AB-BW R1 without interaction (spectral clustering)","selftune",1,1,1,1,NA,NA
"pi_nn_sensitivity",NA,NA,NA,"0",NA,"signal",NA,"0.08",NA,"18",NA,NA,NA,NA,"0",NA,3,0.1,0.5,1,"AB_BW_R1_interaction_SC","AB-BW R1 with interaction (spectral clustering)","gaussian",1,1,1,1,NA,NA
"pi_nn_sensitivity",NA,NA,NA,"0",NA,"signal",NA,"0.08",NA,"18",NA,NA,NA,NA,"0",NA,3,0.1,0.5,1,"AB_BW_R1_interaction_SC","AB-BW R1 with interaction (spectral clustering)","selftune",1,1,1,1,NA,NA
