"task_id","scenario","condition_id","replicate","data_seed","setting_id","n","k","prop_nn","rho","numeric_block_weight","method","method_label","affinity","ARI","objective","iterations","ifault","affinity_scale","affinity_neighbor_rank","distance_seconds","clustering_seconds","error","param_adjacent_overlap","param_ar1_rho","param_categorical_accuracy","param_categorical_contamination","param_family","param_interaction_state","param_k","param_moon_noise_sd","param_n","param_n_per_moon","param_p_numeric_noise","param_p_numeric_signal","param_q_categorical_noise","param_q_categorical_signal"
251,"nonlinear_interaction",1,1,26491901,1,36,6,0.1,0.5,1,"DKSS_SC","DKSS dependency-aware dissimilarity (spectral clustering)","gaussian",0.653211009174312,7.07874888110914,2,0,0.913952773467748,NA,0.0670000000000002,0.00500000000000078,NA,NA,NA,NA,"0",NA,"signal",NA,"0.08",NA,"18",NA,NA,"0",NA
251,"nonlinear_interaction",1,1,26491901,1,36,6,0.1,0.5,1,"DKSS_SC","DKSS dependency-aware dissimilarity (spectral clustering)","selftune",0.929032258064516,1.46180278102522,3,0,0.44080952724804,7,0.0670000000000002,0.00999999999999979,NA,NA,NA,NA,"0",NA,"signal",NA,"0.08",NA,"18",NA,NA,"0",NA
251,"nonlinear_interaction",1,1,26491901,1,36,6,0.1,0.5,1,"KPrototypes","k-prototypes","not_applicable",0.735483870967742,20.0306507780275,4,NA,NA,NA,NA,4.344,NA,NA,NA,NA,"0",NA,"signal",NA,"0.08",NA,"18",NA,NA,"0",NA
301,"null_interaction",1,1,26591901,1,36,2,0.1,0.5,1,"AB_BW_R1_interaction_SC","AB-BW R1 with interaction (spectral clustering)","gaussian",0.784029038112523,2.57905842671338,1,0,2.02710772639994,NA,1.961,0.0549999999999997,NA,NA,NA,NA,"0",NA,"null",NA,"0.08",NA,"18",NA,NA,"0",NA
301,"null_interaction",1,1,26591901,1,36,2,0.1,0.5,1,"AB_BW_R1_interaction_SC","AB-BW R1 with interaction (spectral clustering)","selftune",0.784029038112523,2.72516928683484,1,0,1.06021442765549,7,1.961,0.0139999999999993,NA,NA,NA,NA,"0",NA,"null",NA,"0.08",NA,"18",NA,NA,"0",NA
301,"null_interaction",1,1,26591901,1,36,2,0.1,0.5,1,"AB_BW_R1_no_interaction_SC","AB-BW R1 without interaction (spectral clustering)","gaussian",0.784029038112523,2.57905842671338,1,0,2.02710772639994,NA,1.961,0.00500000000000078,NA,NA,NA,NA,"0",NA,"null",NA,"0.08",NA,"18",NA,NA,"0",NA
301,"null_interaction",1,1,26591901,1,36,2,0.1,0.5,1,"AB_BW_R1_no_interaction_SC","AB-BW R1 without interaction (spectral clustering)","selftune",0.784029038112523,2.72516928683484,1,0,1.06021442765549,7,1.961,0.00600000000000023,NA,NA,NA,NA,"0",NA,"null",NA,"0.08",NA,"18",NA,NA,"0",NA
301,"null_interaction",1,1,26591901,1,36,2,0.1,0.5,1,"Legacy_u_dep_interaction_SC","Legacy u_dep interaction implementation (spectral clustering)","gaussian",0.507579195788327,2.58290231618652,1,0,2.27495395153233,NA,1.699,0.00600000000000023,NA,NA,NA,NA,"0",NA,"null",NA,"0.08",NA,"18",NA,NA,"0",NA
301,"null_interaction",1,1,26591901,1,36,2,0.1,0.5,1,"Legacy_u_dep_interaction_SC","Legacy u_dep interaction implementation (spectral clustering)","selftune",0.685714285714286,1.90918240673426,1,0,1.28173382965016,7,1.699,0.00999999999999979,NA,NA,NA,NA,"0",NA,"null",NA,"0.08",NA,"18",NA,NA,"0",NA
301,"null_interaction",1,1,26591901,1,36,2,0.1,0.5,1,"Gower_SC","Gower dissimilarity (spectral clustering)","gaussian",-0.000726150494690112,3.48841854336784,1,0,0.531945213472775,NA,0.0830000000000002,0.00699999999999967,NA,NA,NA,NA,"0",NA,"null",NA,"0.08",NA,"18",NA,NA,"0",NA
