"configuration","interaction_state","replicate","data_seed","n","p_numeric","q_categorical","method","affinity","bandwidth_base_rule","bandwidth_multiplier","bandwidth_role","affinity_base_scale","affinity_scale","ARI","ifault","distance_seconds","clustering_seconds"
"numeric_high","signal",1,26092100,360,10,2,"modified_gower","gaussian","median_positive_pairwise_dissimilarity",2,"sensitivity",0.628994321642873,1.25798864328575,0.49547624721001,0,1.739,0.428000000000004
"numeric_high","signal",1,26092100,360,10,2,"standardized_euclidean_onehot","gaussian","median_positive_pairwise_dissimilarity",2,"sensitivity",5.52290879836931,11.0458175967386,0.597723433117832,0,2.11,0.078000000000003
"categorical_high","signal",1,26092100,360,2,5,"ab_gated","gaussian","median_positive_pairwise_dissimilarity",0.5,"sensitivity",3.83482717985344,1.91741358992672,0.903608745979847,0,38.318,0.0889999999999986
"categorical_high","signal",1,26092100,360,2,5,"ab_no_interaction","gaussian","median_positive_pairwise_dissimilarity",0.5,"sensitivity",2.18695397502842,1.09347698751421,0.50115732833867,0,2.906,0.0869999999999962
"categorical_high","signal",1,26092100,360,2,5,"gower","gaussian","median_positive_pairwise_dissimilarity",0.5,"sensitivity",0.609840624043622,0.304920312021811,-0.0115215500400214,0,0.231999999999999,0.0840000000000032
"categorical_high","signal",1,26092100,360,2,5,"modified_gower","gaussian","median_positive_pairwise_dissimilarity",0.5,"sensitivity",0.56831374110524,0.28415687055262,0.59539651729784,0,0.340000000000003,0.0850000000000009
"categorical_high","signal",1,26092100,360,2,5,"standardized_euclidean_onehot","gaussian","median_positive_pairwise_dissimilarity",0.5,"sensitivity",6.08465891204161,3.04232945602081,-0.00918919819897511,0,0.253999999999998,0.0769999999999982
"categorical_high","signal",1,26092100,360,2,5,"ab_gated","gaussian","median_positive_pairwise_dissimilarity",1,"primary",3.83482717985344,3.83482717985344,0.904856510386762,0,38.318,0.0790000000000006
"categorical_high","signal",1,26092100,360,2,5,"ab_no_interaction","gaussian","median_positive_pairwise_dissimilarity",1,"primary",2.18695397502842,2.18695397502842,0.489885570925104,0,2.906,0.0899999999999963
"categorical_high","signal",1,26092100,360,2,5,"gower","gaussian","median_positive_pairwise_dissimilarity",1,"primary",0.609840624043622,0.609840624043622,0.174154918629834,0,0.231999999999999,0.0859999999999985
"categorical_high","signal",1,26092100,360,2,5,"modified_gower","gaussian","median_positive_pairwise_dissimilarity",1,"primary",0.56831374110524,0.56831374110524,0.628660677736719,0,0.340000000000003,0.0799999999999983
"categorical_high","signal",1,26092100,360,2,5,"standardized_euclidean_onehot","gaussian","median_positive_pairwise_dissimilarity",1,"primary",6.08465891204161,6.08465891204161,0.177575299682044,0,0.253999999999998,0.0769999999999982
"categorical_high","signal",1,26092100,360,2,5,"ab_gated","gaussian","median_positive_pairwise_dissimilarity",2,"sensitivity",3.83482717985344,7.66965435970688,0.904856510386762,0,38.318,0.0790000000000006
"categorical_high","signal",1,26092100,360,2,5,"ab_no_interaction","gaussian","median_positive_pairwise_dissimilarity",2,"sensitivity",2.18695397502842,4.37390795005684,0.355736499192864,0,2.906,0.0949999999999989
"categorical_high","signal",1,26092100,360,2,5,"gower","gaussian","median_positive_pairwise_dissimilarity",2,"sensitivity",0.609840624043622,1.21968124808724,0.313624212878283,0,0.231999999999999,0.0810000000000031
"categorical_high","signal",1,26092100,360,2,5,"modified_gower","gaussian","median_positive_pairwise_dissimilarity",2,"sensitivity",0.56831374110524,1.13662748221048,0.631785707186231,0,0.340000000000003,0.0889999999999986
"categorical_high","signal",1,26092100,360,2,5,"standardized_euclidean_onehot","gaussian","median_positive_pairwise_dissimilarity",2,"sensitivity",6.08465891204161,12.1693178240832,0.155089321611173,0,0.253999999999998,0.0770000000000053
"joint_high","signal",1,26092100,360,10,5,"ab_gated","gaussian","median_positive_pairwise_dissimilarity",0.5,"sensitivity",9.02375969665064,4.51187984832532,0.903920849979541,0,38.791,0.241
"joint_high","signal",1,26092100,360,10,5,"ab_no_interaction","gaussian","median_positive_pairwise_dissimilarity",0.5,"sensitivity",5.14527375361594,2.57263687680797,0.556321174240815,0,4.31,0.0830000000000055
"joint_high","signal",1,26092100,360,10,5,"gower","gaussian","median_positive_pairwise_dissimilarity",0.5,"sensitivity",0.427404683555112,0.213702341777556,0.631168547126255,0,0.0719999999999956,0.0760000000000005
"joint_high","signal",1,26092100,360,10,5,"modified_gower","gaussian","median_positive_pairwise_dissimilarity",0.5,"sensitivity",0.628274584880407,0.314137292440203,0.503935294380407,0,0.515000000000001,0.0690000000000026
"joint_high","signal",1,26092100,360,10,5,"standardized_euclidean_onehot","gaussian","median_positive_pairwise_dissimilarity",0.5,"sensitivity",7.00194281248845,3.50097140624423,0.577773167902223,0,0.343000000000004,0.0720000000000027
