"task_key","experiment","condition","state","replicate","data_seed","method","method_label","bandwidth_multiplier","ARI","affinity_sigma","objective","iterations","ifault","distance_seconds","clustering_seconds","error"
"Simulation_2__n500__interaction__rep001","Simulation_2","n500","interaction",1,26300100,"Ahmad_Dey_SC","Ahmad--Dey distance",1,0.389585795145947,0.0627722512270358,13.3993972100782,2,0,0.0619999999999976,0.167000000000002,NA
"Simulation_2__n500__interaction__rep002","Simulation_2","n500","interaction",2,26300200,"Gated_active_average_SC","Gated active average",1,0.82188912288191,6.00508577981843,50.4308939194188,2,0,0.0120000000000005,0.197000000000003,NA
"Simulation_2__n500__interaction__rep002","Simulation_2","n500","interaction",2,26300200,"Package_no_interaction_SC","Package no interaction",1,0.252696210447726,4.90703380603564,58.9898573594498,2,0,0.00600000000000023,0.557000000000002,NA
"Simulation_2__n500__interaction__rep002","Simulation_2","n500","interaction",2,26300200,"Gower_SC","Gower",1,0.249996175630592,0.311264305899708,60.0478257242288,2,0,0.0859999999999985,0.218999999999994,NA
"Simulation_2__n500__interaction__rep002","Simulation_2","n500","interaction",2,26300200,"Modified_Gower_SC","Modified Gower",1,0.778341678755817,0.597499461942495,30.376077900836,2,0,0.970000000000013,0.257000000000005,NA
"Simulation_2__n500__interaction__rep002","Simulation_2","n500","interaction",2,26300200,"Euclidean_onehot_SC","Euclidean one-hot",1,0.284279967888797,5.34373791716107,58.0476594166519,2,0,0.884999999999991,0.172000000000011,NA
"Simulation_2__n500__interaction__rep002","Simulation_2","n500","interaction",2,26300200,"Ahmad_Dey_SC","Ahmad--Dey distance",1,0.383432279697956,0.055158637984568,11.7872113722138,2,0,0.0769999999999982,0.182000000000002,NA
"Simulation_2__n500__interaction__rep003","Simulation_2","n500","interaction",3,26300300,"Gated_active_average_SC","Gated active average",1,0.857785148030803,6.02021534658228,35.3414283947818,2,0,0.0099999999999909,0.191000000000003,NA
"Simulation_2__n500__interaction__rep003","Simulation_2","n500","interaction",3,26300300,"Package_no_interaction_SC","Package no interaction",1,0.249597604401972,4.85792270668256,57.5613933602567,2,0,0.00500000000000966,0.220000000000013,NA
"Simulation_2__n500__interaction__rep003","Simulation_2","n500","interaction",3,26300300,"Gower_SC","Gower",1,0.276288011746861,0.308324237441108,55.2148919765385,2,0,0.0729999999999933,0.185999999999993,NA
"Simulation_2__n500__interaction__rep003","Simulation_2","n500","interaction",3,26300300,"Modified_Gower_SC","Modified Gower",1,0.726819751379911,0.592371876593748,34.428310781701,2,0,1.02500000000001,0.162000000000006,NA
"Simulation_2__n500__interaction__rep003","Simulation_2","n500","interaction",3,26300300,"Euclidean_onehot_SC","Euclidean one-hot",1,0.349926958608572,5.349951601752,51.7429982579879,2,0,0.428999999999988,0.178999999999988,NA
"Simulation_2__n500__interaction__rep003","Simulation_2","n500","interaction",3,26300300,"Ahmad_Dey_SC","Ahmad--Dey distance",1,0.364571459266912,0.0416232897378241,0.697416793514362,2,0,0.0640000000000072,0.188000000000002,NA
"Simulation_2__n500__interaction__rep004","Simulation_2","n500","interaction",4,26300400,"Gated_active_average_SC","Gated active average",1,0.832311542676226,6.08778616454008,52.6562050331036,3,0,0.0160000000000053,0.308999999999997,NA
"Simulation_2__n500__interaction__rep004","Simulation_2","n500","interaction",4,26300400,"Package_no_interaction_SC","Package no interaction",1,0.23520333604427,4.9424638213723,58.2179321784181,2,0,0.00499999999999545,0.170000000000002,NA
"Simulation_2__n500__interaction__rep004","Simulation_2","n500","interaction",4,26300400,"Gower_SC","Gower",1,0.242341568092663,0.31689141638798,37.586031639749,1,0,0.0849999999999937,0.337999999999994,NA
"Simulation_2__n500__interaction__rep004","Simulation_2","n500","interaction",4,26300400,"Modified_Gower_SC","Modified Gower",1,0.659227202968858,0.624279728312143,36.3325233438839,2,0,1.05800000000001,0.178000000000011,NA
"Simulation_2__n500__interaction__rep004","Simulation_2","n500","interaction",4,26300400,"Euclidean_onehot_SC","Euclidean one-hot",1,0.241928035060348,5.3617048823286,56.0186021620021,2,0,0.911999999999992,0.228999999999999,NA
"Simulation_2__n500__interaction__rep004","Simulation_2","n500","interaction",4,26300400,"Ahmad_Dey_SC","Ahmad--Dey distance",1,0.358318776745231,0.0505395136532205,3.98495615671661,3,0,0.041000000000011,0.178000000000011,NA
"Simulation_2__n500__interaction__rep005","Simulation_2","n500","interaction",5,26300500,"Gated_active_average_SC","Gated active average",1,0.614598450024314,5.96311192481851,58.2776058002963,2,0,0.00499999999999545,0.204000000000008,NA
